IncidentDate,IncidentNumber,CauseCategory,CauseType,FailureType,IncidentType,Location,InjuryCount,FatalityCount,IncidentLSD,IncidentSection,IncidentTownship,IncidentRange,IncidentMeridian,LicenceNumber,LicenceType,IncidentNotificationDate,IncidentCompleteDate,Source,StrikeArea,FieldCentre,LicenseeID,LicenseeName,Jurisdiction,ReleaseOffsite,SensitiveArea,PublicAffected,EnvironmentAffected,WildlifeLivestockAffected,AreaAffected,PublicEvacuatedCount,ReleaseCleanupDate,PipelineLicenceSegmentID,PipelineLicenceLineNo,PipeDamageType,PipeTestFailure,PipelineOutsideDiameter(mm),PipeGrade,PipeWallThickness(mm),SubstanceReleased,VolumeReleased,VolumeRecovered,VolumeUnits,SubstanceReleased2,VolumeReleased2,VolumeRecovered2,VolumeUnits2,SubstanceReleased3,VolumeReleased3,VolumeRecovered3,VolumeUnits3,SubstanceReleased4,VolumeReleased4,VolumeRecovered4,VolumeUnits4,Location1
February 04 2013,20130270,Equipment Failure,Internal corrosion,Wellhead Leak,Release,08-08-078-06W6,,,8,8,78,6,6,104868,Well Licence,February 04 2013,,Service Well,SPIRITR,Grande Prairie,A632,Petrus Resources Ltd.,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,,,,,,,,,Salt/Produced Water,20,,m3,,,,,,,,,,,,,"(55.742783, -118.882883)"
February 04 2013,20130268,,,,Release,04-07-064-19W5,0,0,4,7,64,19,5,445464,Well Licence,February 04 2013,,Oil Well,KAYBOB,St. Albert,A28L,Athabasca Oil Corporation,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,0,,,,,,,,,Crude Oil,7,,m3,,,,,,,,,,,,,"(54.51795, -116.871483)"
February 04 2013,20130264,Equipment Failure,Mechanical/Strctural,Equipment Failure,Release,12-31-042-01W4,,,12,31,42,1,4,244467,Well Licence,February 04 2013,,Service Well,CHAUVINS,Wainwright,39,Talisman Energy Inc.,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,,,,,,,,,Salt/Produced Water,10,,m3,,,,,,,,,,,,,"(52.661117, -110.1459)"
February 04 2013,20130261,,,,Release,16-27-056-19W4,0,0,16,27,56,19,4,268381,Well Licence,February 04 2013,,Oil Well,REDWATER,St. Albert,A637,NEP Canada ULC,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Crude Oil,2,,m3,Salt/Produced Water,1,,m3,,,,,,,,,"(53.874333, -112.73115)"
February 03 2013,20130257,Unknown,Unknown,Fire,Release,14-22-015-12W4,0,0,14,22,15,12,4,413107,Well Licence,February 03 2013,,Oil Well,ALDSON,Medicine Hat,A0C6,Crew Energy Inc.,Freehold Private Lands,Yes,No,Evacuation ordered,Air/Land,No affect,100 square meters or less,18,,,,,,,,,Gas Production (Marketable),0.1,,103m3,,,,,,,,,,,,,"(50.2788, -111.5769)"
February 03 2013,20130267,Operator Error,Accidental,Operator Error,Release,16-01-066-04W6,,,16,1,66,4,6,447487,Well Licence,February 04 2013,,Oil Well,KARR,Grande Prairie,A0YZ,Progress Energy Canada Ltd.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,over 100 but less than 1000 square meters,,,,,,,,,,Crude Oil,4,,m3,,,,,,,,,,,,,"(54.688733, -118.45665)"
February 02 2013,20130263,Operator Error,Accidental,Operator Error,Release,02-01-090-14W4,0,0,2,1,90,14,4,452040,Well Licence,February 02 2013,,Drilling Well,,Bonnyville,A5LG,Mackay Operating Corp.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Drilling Mud  (Water Based),12.5,,m3,,,,,,,,,,,,,"(56.771467, -112.088783)"
February 02 2013,20130251,Operator Error,Accidental,Operator Error,Release,16-21-055-20W5,0,0,16,21,55,20,5,449387,Well Licence,February 02 2013,,Drilling Well,NOSEHILL,Drayton Valley,0YA2,Peyto Exploration & Development Corp.,Crown Any Area,Yes,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,02/02/2013 12:00:00 AM,,,,,,,,Drilling Mud (HC Based),0.1,,m3,,,,,,,,,,,,,"(53.771867, -116.9032)"
February 02 2013,20130262,Equipment Failure,Malfunction,,Release,09-08-056-06W4,0,0,9,8,56,6,4,224468,Well Licence,February 02 2013,,Suspended Well,LIND,Bonnyville,0HE9,Canadian Natural Resources Limited,Freehold Private Lands,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Salt/Produced Water,20,,m3,,,,,,,,,,,,,"(53.82575, -110.849933)"
January 31 2013,20130234,Equipment Failure,Internal corrosion,Line Failure,Release,14-16-071-18W5,0,0,14,16,71,18,5,112288,Well Licence,January 31 2013,,Service Well,SNIPELK,Grande Prairie,0JL8,Apache Canada Ltd.,Crown Any Area,No,No,No affect/Normal Notification,Air/Land,No affect,100 square meters or less,0,,,,,,,,,Salt/Produced Water,3,,m3,,,,,,,,,,,,,"(55.15465, -116.709817)"
