External ID,Listing Title additional text,Manufacturer Part Number,Year Built,PASC Condition Rating,Condition Details,MTR,Valve Type,"Inlet Size ("")","Outlet Size ("")",Class (#),Manufacturer,Model #,Body Material,Actuator,Actuator Details,Trunnion Mount,Trim,Ball,Stem,Ends,Seats,Temp Range,Pattern,Bore,Bonnet,Disc,Port,OS&Y,Skidded,Housed,Operational Status,Last Inspection,Warranty,Warranty Details,Units Available,Internal Comments,Deal Status,Price
BA-100_2_0,"F08-00402-SSEZ 2"" CL150 RF VELAN SPLIT BODY BALL VALVE, RP, WCB BODY, 316SS BALL & STEM, M-PTFE (TFM-1600) SEAT, GRAPHITE PACKING, LEVER HANDLE",,,,,Yes,,"2""",,,,,,,,,,,,,,,,,,,,,,,Disconnected,,,,1,P-6500-01,,$1.00
BA-100_4_0,"F12-00402-SSEZ 4"" CL150 RF VELAN SPLIT BODY BALL VALVE, RP, WCB BODY, 316SS BALL & STEM, M-PTFE (TFM-1600) SEAT, FIRE TESTED API 607 REV.5, GRAPHITE PACKING, LEVER HANDLE",,,,,Yes,,"4""",,,,,,,,,,,,,,,,,,,,,,,Disconnected,,,,1,P-6500-01,,$1.00
BA-100C_1_0,"AKH3 1"" CL150 RF BALL VALVE STANDARD PORT FULLY PFA L. STEM LOCKING LEVER OPERATED",,,,,Yes,,"1""",,,,,,,,,,,,,,,,,,,,,,,Disconnected,,,,42,P-6500-01,,$1.00
BA-100C_2_0,"AKH3 2"" CL150 RF ATOMAC BALL VALVE, STANDARD PORT, FULLY PFA LINED DI BODY, PFA ENCAPSULATED DI BALL, SS STEM, LOCKING LEVER OPERATED",,,,,Yes,,"2""",,,,,,,,,,,,,,,,,,,,,,,Disconnected,,,,69,P-6500-01,,$1.00
BA-100C_3_0,"AKH3 3"" CL150 RF ATOMAC BALL VALVE, STANDARD PORT, FULLY PFA LINED DI BODY, PFA ENCAPSULATED DI BALL, SS STEM, LOCKING LEVER OPERATED",,,,,Yes,,"3""",,,,,,,,,,,,,,,,,,,,,,,Disconnected,,,,6,P-6500-01,,$1.00
BA-100C_4_0,"AKH3 4"" CL150 RF ATOMAC BALL VALVE, STANDARD PORT, FULLY PFA LINED DI BODY, PFA ENCAPSULATED DI BALL, SS STEM, LOCKING LEVER OPERATED",,,,,Yes,,"4""",,,,,,,,,,,,,,,,,,,,,,,Disconnected,,,,9,P-6500-01,,$1.00
BA-100CX_6_0,"AKH2A 6"" ATOMAC CL150 RF BALL VALVE, FP, FULLY PFA LINED DI BODY, PFA ENCAPSULATED DI BALL, SS STEM, LOCKING LEVER OPERATED",,,,,Yes,,"6""",,,,,,,,,,,,,,,,,,,,,,,Disconnected,,,,1,P-6500-01,,$1.00
BA-100L_2_0,"F08-00431-SSEZ 2"" CL150 RF VELAN SPLIT BODY BALL VALVE, RP, LCC BODY, 316SS BALL & STEM, M-PTFE (TFM-1600) SEAT, GRAPHITE PACKING, FIRE TESTED API 607 REV 5, NACE MR 0103, LEVER HANDLE",,,,,Yes,,"2""",,,,,,,,,,,,,,,,,,,,,,,Disconnected,,,,1,P-6500-01,,$1.00
BA-100SS_2_0,"F08-00402-SSEZ 2"" CL150 RF VELAN SPLIT BODY BALL VALVE, RP, WCB BODY, 316SS BALL & STEM, M-PTFE (TFM-1600) SEAT, GRAPHITE PACKING, FIRE SAFE TO API 607 REV 5, B7 BOLTING, SS TAG COMPLIANCE TO API 608 VALVE DESIGN WITH B16.34 AND API 608 FACE TO FACE MEASU",,,,,Yes,,"2""",,,,,,,,,,,,,,,,,,,,,,,Disconnected,,,,20,P-6500-01,,$1.00
BA-100SS_3_0,"F10-00402-SSEZ 3"" CL150 RF VELAN SPLIT BODY BALL VALVE, RP, WCB BODY, 316SS BALL & STEM, M-PTFE (TFM-1600) SEAT, GRAPHITE PACKING, FIRE SAFE TO API 607 REV 5, B7 BOLTING, SS TAG COMPLIANCE TO API 608 VALVE DESIGN WITH B16.34 AND API 608 FACE TO FACE MEASU",,,,,Yes,,"3""",,,,,,,,,,,,,,,,,,,,,,,Disconnected,,,,6,P-6500-01,,$1.00
