Supplier ID,MAXIMO ITEM#,Tag #,Item,Type,Desription
1509113,534238,NT-30L00,Valve,Needle,NEEDLE 3000# CWP TE 316/316L Flexible Graphite/PTFE
1509113,541403,"BF-01A00 10""",Valve,BALL,"VALVE,BALL, 10"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541408,"BF-01A00 12""",Valve,BALL,"VALVE,BALL, 12"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541409,"BF-01A00 14""",Valve,BALL,"VALVE,BALL, 14"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541410,"BF-01A00 18""",Valve,BALL,"VALVE,BALL, 18"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,540218,"BF-01A00 2""",Valve,BALL,"VALVE,BALL, 2"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541411,"BF-01A00 20""",Valve,BALL,"VALVE,BALL, 20"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541412,"BF-01A00 2-1/2""",Valve,BALL,"VALVE,BALL, 2-1/2"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541413,"BF-01A00 24""",Valve,BALL,"VALVE,BALL, 24"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541414,"BF-01A00 3""",Valve,BALL,"VALVE,BALL, 3"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541415,"BF-01A00 3-1/2""",Valve,BALL,"VALVE,BALL, 3-1/2"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541416,"BF-01A00 4""",Valve,BALL,"VALVE,BALL, 4"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541417,"BF-01A00 4-1/2""",Valve,BALL,"VALVE,BALL, 4-1/2"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541418,"BF-01A00 5""",Valve,BALL,"VALVE,BALL, 5"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541419,"BF-01A00 6""",Valve,BALL,"VALVE,BALL, 6"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541420,"BF-01A00 8""",Valve,BALL,"VALVE,BALL, 8"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A00"
1509113,541421,"BF-01A01 10""",Valve,BALL,"VALVE,BALL, 10"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541422,"BF-01A01 12""",Valve,BALL,"VALVE,BALL, 12"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541423,"BF-01A01 14""",Valve,BALL,"VALVE,BALL, 14"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541424,"BF-01A01 18""",Valve,BALL,"VALVE,BALL, 18"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541425,"BF-01A01 2""",Valve,BALL,"VALVE,BALL, 2"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541426,"BF-01A01 20""",Valve,BALL,"VALVE,BALL, 20"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541427,"BF-01A01 2-1/2""",Valve,BALL,"VALVE,BALL, 2-1/2"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541428,"BF-01A01 24""",Valve,BALL,"VALVE,BALL, 24"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541429,"BF-01A01 3""",Valve,BALL,"VALVE,BALL, 3"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541430,"BF-01A01 3-1/2""",Valve,BALL,"VALVE,BALL, 3-1/2"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541431,"BF-01A01 4""",Valve,BALL,"VALVE,BALL, 4"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541432,"BF-01A01 4-1/2""",Valve,BALL,"VALVE,BALL, 4-1/2"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541433,"BF-01A01 5""",Valve,BALL,"VALVE,BALL, 5"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541434,"BF-01A01 6""",Valve,BALL,"VALVE,BALL, 6"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541435,"BF-01A01 8""",Valve,BALL,"VALVE,BALL, 8"", CL 150, REGULAR, -29 TO 220DEG C (-20DEG F TO 428DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PEEK, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A01"
1509113,541436,"BF-01A04 10""",Valve,BALL,"VALVE,BALL, 10"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541437,"BF-01A04 12""",Valve,BALL,"VALVE,BALL, 12"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541438,"BF-01A04 14""",Valve,BALL,"VALVE,BALL, 14"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541439,"BF-01A04 18""",Valve,BALL,"VALVE,BALL, 18"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541440,"BF-01A04 2""",Valve,BALL,"VALVE,BALL, 2"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541441,"BF-01A04 20""",Valve,BALL,"VALVE,BALL, 20"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
1509113,541442,"BF-01A04 2-1/2""",Valve,BALL,"VALVE,BALL, 2-1/2"", CL 150, REGULAR, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB + ENC, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A04"
