Material,Description,Available,UOM,Area,Section,Bin,Location Text,Tracking Cd,Text,MANUFACTURER
13598602,"VALVE,BALL,8"",9K-5008R06FO1A,GROVE VALVE",1,EA,A,,R02H02,,BF07Q40A05C,"VALVE, BALL, 600 LB, GROVE VALVE & REGULATOR CO, 9K-5008R06FO1A, CARBON STEEL, 8 IN, REGULAR PORT, RAISED FACE",GROVE/CAMERON
13717123,"VALVE,GATE,1/2"",CL1500,ASTM A105N",1,EA,A,,R02L01,TOTE 1,GS15V00504,"VALVE, GATE, 1/2 IN, CL1500, API TRIM 5, SW, ASTM A105N",OMB
13717128,"VALVE,GATE,1/2"",CL1500,ASTM A105N",1,EA,A,,R02L01,TOTE 1,GX15V00504,"VALVE, GATE, 1/2 IN, CL1500, API TRIM 5, FSW X FNPT, ASTM A105N","OMB, VELAN"
13717158,"VALVE,GATE,3/4"",CL800,ASTM A105N",6,EA,A,,R02L07,"TOTE 69,70",GT08A00801,"VALVE, GATE, 3/4 IN, CL800, API TRIM 8, THRD, ASTM A105N","OMB, VELAN"
13717159,"VALVE,GATE,3/4"",CL800,ASTM A105N",22,EA,A,,R02L01,"TOTE 3, 4",GS08A00801,"VALVE, GATE, 3/4 IN, CL800, API TRIM 8, SW, ASTM A105N","OMB, VELAN, DSI"
13717159,"VALVE,GATE,3/4"",CL800,ASTM A105N",22,EA,A,,R02L02,"TOTE 16,17,18,19",GS08A00801,"VALVE, GATE, 3/4 IN, CL800, API TRIM 8, SW, ASTM A105N","OMB, VELAN, DSI"
13717160,"VALVE,GLOBE,3/4"",CL1500,SASTM A105N",6,EA,A,,R02L03,"TOTE 20,21,22,23,24",TS15V10504,"VALVE, GLOBE, Y-PATTERN SW, 3/4 IN, WELDED BONNET, CL1500, API TRIM 5, SASTM A105N","OMB, VELAN"
13717164,"VALVE,GATE,3/4"",CL800,ASTM A182",3,EA,A,,R02I07,,GS08S0120N,"VALVE, GATE, SW, CL800, GR 316/316L, API TRIM 12, ASTM A182, 3/4 IN, NACE",OMB
13717165,"VALVE,GATE,3/4"",CL800,ASTM A182",8,EA,A,,R02L01,TOTE 7,GB08L0120H,"VALVE, GATE, 3/4 IN, GR 316/316L, CL800, API TRIM 12, BW-80S, ASTM A182",OMB
13717168,"VALVE,BALL,3/4"",2000#CWP,ASTM A182",5,EA,A,,R02L01,TOTE 6,BS20L00A0H,"VALVE, BALL, M-SW, 2000#CWP, GR 316/316L, 316 SS BALL, PTFE, ASTM A182, 3/4 IN, W/6 IN NIPPLES",VELAN
13717169,"VALVE,GATE,3/4"",CL800,ASTM A182",2,EA,A,,R02L01,TOTE 5,GS08L0120H,"VALVE, GATE, 3/4 IN, GR 316/316L, CL800, API TRIM 12, SW, ASTM A182",OMB
13718983,"VALVE,CK,6"",SWING,CL600,216WCB,RF,FL,T5",2,EA,A,,R02J04,,CF06V00501,"VALVE, CHECK, SWING, CARBON STEEL, 6 IN, CLASS 600, FLANGED END, ASTM A216 GR WCB, ASME B16.10, RAISED FACE, API TRIM 5, API 600, ASME B16.34",TY
13719000,"VALVE,GATE,2"",A216WCB,RF,FLGD,CL600,T5",6,EA,A,,R02K03,,GF06V00501,"VALVE, GATE, 2 IN, CARBON STEEL, CLASS 600, FLANGED END, ASTM A216 GR WCB, ASME B16.10, RAISED FACE, API TRIM 5, API 600, ASME B16.34",VELAN
13719000,"VALVE,GATE,2"",A216WCB,RF,FLGD,CL600,T5",6,EA,A,,R02K04,,GF06V00501,"VALVE, GATE, 2 IN, CARBON STEEL, CLASS 600, FLANGED END, ASTM A216 GR WCB, ASME B16.10, RAISED FACE, API TRIM 5, API 600, ASME B16.34",VELAN
13719003,"VALVE,GATE,3"",A216WCB,RF,FLGD,CL600,T5",3,EA,A,,R02K07,,GF06V00501,"VALVE, GATE, 3 IN, CARBON STEEL, CLASS 600, FLANGED END, ASTM A216 GR WCB, ASME B16.10, RAISED FACE, API TRIM 5, API 600, ASME B16.34",TY
13719005,"VALVE,GATE,0.75"",A105N,SW,CL800,T5",6,EA,A,,R02L02,TOTE 11,GS08V00501,"VALVE, GATE, 3/4 IN, CARBON STEEL, CLASS 800, SOCKET WELD, ASTM A105N, API TRIM 5, API 602, ASME B16.34",VELAN
13720552,"VALVE,GLOB,600#,RF,TR.12,A352-LCC,2""",1,EA,A,,R02L12,,TF06L01205,"VALVE, GLOBE, FLANGED END, 2 IN, CLASS 600, LOW TEMPERATURE CARBON STEEL, API TRIM 12, RAISED FACE, ASTM A352, GR LCC, ASME B16.10",TY
13720912,"VALVE,BALL,2000# CWP,SW,A350-LF2-1, 1""",2,EA,A,,R02L07,TOTE 63,BS20L00A05,"VALVE, BALL, MALE SOCKET WELD, 2000 LB CWP, 316 STAINLESS STEEL BALL, ASTM A350, GR LF2 CL 1, 1 IN, WITH 6 IN NIPPLES",ZY TECH / STARLINE
13720919,"VALVE,CK,SWING,800#,SW,A350-LF2-1, 1""",1,EA,A,,R02L06,TOTE 54,CS08L21205,"VALVE, CHECK, SWING, PISTON, LOW TEMPERATURE CARBON STEEL, 1 IN, CLASS 800, API TRIM 12, SOCKET WELD, ASTM A350, GR LF2 CL 1",OMB
