SKU,Description,Surplus Quantity,Value / Part ($),Value,Site Location of Surplus Part,Turns
10013090,"GASKET, CONDUIT OUTLET BODY, SIZE: 3/4INCH, MATERIAL: NEOPRENE, SHAPE: DURALOY 5 SERIES, MANUFACTURER: KILLARK, MANUFACTURER P/N: OLK-2-RG",5.00,5.00,25.00,J1 Office,0
10013089,"ELBOW, CONDUIT, TYPE: CAPPED, DEGREE: 90DEGREE, SIZE: 3/4INCH, END PREPARATION: FEMALE NPT, MATERIAL: ALUMINUM, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: LBY25SA",3.00,5.00,15.00,J1 Office,0
10005530,"BODY, CONDUIT OUTLET, TYPE: C, SIZE: 1/2INCH, END CONNECTION: THREADED, MATERIAL: COPPER FREE ALUMINUM, FORM: MARK 9, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: C19",5.00,5.00,25.00,J1 Office,0
10003076,"CONNECTOR, CABLE/CONDUIT, TYPE: ARMOURED FLEX, SIZE: 3/4INCH, CONNECTION: SCREW IN, MATERIAL: ALUMINUM, HUB SIZE: 3/4INCH",2.00,5.00,10.00,J1 Office,0
10014968,"REDUCER, CONDUIT, TYPE: ADAPTER, LARGE END NOMINAL SIZE: 1 1/4INCH, SMALL END NOMINAL SIZE: 3/4INCH, END STYLE: BELLED, MATERIAL: CARBON STEEL, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: REC42",9.00,5.00,45.00,J1 Office,0
10013646,"BODY, CONDUIT OUTLET, TYPE: LB, SIZE: 3/4INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: LB29",6.00,5.00,30.00,J1 Office,0
10016717,"BODY, CONDUIT OUTLET, TYPE: LB, SIZE: 1INCH, END CONNECTION: THREADED, MATERIAL: COPPER FREE ALUMINUM, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: LB39",2.00,5.00,10.00,J1 Office,0
10004524,"BODY, CONDUIT OUTLET, TYPE: LB, SIZE: 1-1/4INCH, END CONNECTION: THREADED, MATERIAL: FERALOY IRON ALLOY, MANUFACTURER: CROUSE-HINDS, MANUFACTURER P/N: LB448",1.00,5.00,5.00,J1 Office,0
10016070,"BODY, CONDUIT OUTLET, TYPE: LL, SIZE: 1/2INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OLL-1",3.00,5.00,15.00,J1 Office,0
10017798,"BODY, CONDUIT OUTLET, TYPE: LR, SIZE: 1/2INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OLR-1",2.00,5.00,10.00,J1 Office,0
10010960,"BODY, CONDUIT OUTLET, TYPE: C, SIZE: 1/2INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OC-1",1.00,5.00,5.00,J1 Office,0
10011753,"BODY, CONDUIT OUTLET, TYPE: T, SIZE: 1/2INCH, END CONNECTION: TAPERED NPT, MATERIAL: COPPER FREE ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OT-1",1.00,5.00,5.00,J1 Office,0
10016071,"BODY, CONDUIT OUTLET, TYPE: TA, SIZE: 1/2INCH, END CONNECTION: THREADED, MATERIAL: ALUMINUM, MANUFACTURER: HUBBELL/KILLARK, MANUFACTURER P/N: OTA-1",4.00,5.00,20.00,J1 Office,0
